Trace
Swept SA
A.24.56,N9000B
69176627.9397852,-78.2045714505992
69183389.5817852,-77.8262729279459
69190151.2237852,-78.2917068326193
69196912.8657852,-78.2737333543807
69203674.5077852,-78.6903706160049
69210436.1497852,-77.8859004480642
69217197.7917852,-77.8489288833584
69223959.4337852,-78.0184657893787
69230721.0757852,-77.788102158404
69237482.7177852,-77.9709382143093
69244244.3597852,-78.1580946154105
69251006.0017852,-78.0583203802181
69257767.6437852,-78.3592002790818
69264529.2857852,-79.1463673012902
69271290.9277852,-78.591487585753
69278052.5697852,-78.4552938743188
69284814.2117852,-78.2148105463182
69291575.8537852,-78.4403544916044
69298337.4957852,-78.6365432213972
69305099.1377852,-78.1047583422921
69311860.7797852,-78.3908752882195
69318622.4217852,-78.6761028159881
69325384.0637852,-78.27364729226
69332145.7057852,-77.9973553942312
69338907.3477852,-78.4477193933596
69345668.9897852,-78.3291792091474
69352430.6317852,-78.5185655883277
69359192.2737852,-78.2768636377675
69365953.9157852,-78.8229251863576
69372715.5577852,-78.0976603535449
69379477.1997852,-77.6810950306391
69386238.8417852,-78.1447146625688
69393000.4837852,-78.1412545844727
69399762.1257852,-77.9221488478227
69406523.7677852,-77.8518343641494
69413285.4097852,-78.2072571714169
69420047.0517852,-78.4664358022839
69426808.6937852,-78.1035859579005
69433570.3357852,-78.2462792127446
69440331.9777852,-78.2077655021121
69447093.6197852,-78.4524419211286
69453855.2617852,-78.2210876135734
69460616.9037852,-78.0358922821623
69467378.5457852,-78.6690226341644
69474140.1877852,-78.6451657692317
69480901.8297852,-78.1913526717723
69487663.4717852,-77.8883677924949
69494425.1137852,-77.7052586220759
69501186.7557852,-78.8947333590548
69507948.3977852,-78.4839128909027
69514710.0397852,-78.2604230414316
69521471.6817852,-77.8612632216657
69528233.3237852,-78.0024797652872
69534994.9657852,-78.520399777378
69541756.6077852,-78.6195662318212
69548518.2497852,-77.906330238031
69555279.8917852,-77.7858100255796
69562041.5337852,-77.9517378731925
69568803.1757852,-78.2296099582288
69575564.8177852,-77.4353478922473
69582326.4597852,-77.501536955201
69589088.1017852,-77.768373820938
69595849.7437852,-78.378875107634
69602611.3857852,-77.5780471484146
69609373.0277852,-77.5432907757194
69616134.6697852,-77.5996698908336
69622896.3117852,-77.0271113396091
69629657.9537852,-77.8293210843848
69636419.5957852,-77.0801171795569
69643181.2377852,-76.4580778023757
69649942.8797852,-75.9091559721005
69656704.5217852,-76.3468907746447
69663466.1637852,-75.7249194058411
69670227.8057852,-74.5614049086342
69676989.4477852,-73.988772372804
69683751.0897852,-73.4775526449403
69690512.7317852,-72.7449891011095
69697274.3737852,-72.7548864040499
69704036.0157852,-72.5630626109458
69710797.6577852,-72.3605624962838
69717559.2997852,-72.5583858209246
69724320.9417852,-72.7350506938339
69731082.5837852,-72.8522815392216
69737844.2257852,-73.5819705139667
69744605.8677852,-73.9166719374357
69751367.5097852,-74.5258016295604
69758129.1517852,-74.8437043019357
69764890.7937852,-74.9878038616915
69771652.4357852,-76.5040791494076
69778414.0777852,-76.5299353919736
69785175.7197852,-76.7709813062703
69791937.3617852,-76.8943757524741
69798699.0037852,-77.633859117075
69805460.6457852,-77.1606795022391
69812222.2877852,-77.616675362322
69818983.9297852,-77.2190140263844
69825745.5717852,-77.8624054504207
69832507.2137852,-77.4299069498263
69839268.8557852,-77.6682732140354
69846030.4977852,-77.7194632558181
69852792.1397852,-77.3750426784495
69859553.7817852,-78.1020048989283
69866315.4237852,-77.4915608917352
69873077.0657852,-77.392791006886
69879838.7077852,-77.5182929222563
69886600.3497852,-77.4503973884426
69893361.9917852,-78.0388934808206
69900123.6337852,-77.7544362710188
69906885.2757852,-77.8411354576952
69913646.9177852,-77.7549276434396
69920408.5597852,-77.1948056615471
69927170.2017852,-77.4527112609372
69933931.8437852,-78.0642920273194
69940693.4857852,-78.0878194393844
69947455.1277852,-78.0543243026841
69954216.7697852,-78.2653049747985
69960978.4117852,-77.9606085203883
69967740.0537852,-78.464296399717
69974501.6957852,-77.8775082487692
69981263.3377852,-78.0295755662468
69988024.9797852,-77.5823426577651
69994786.6217852,-78.6466060988724
70001548.2637852,-78.211922216478
70008309.9057852,-78.5658623256444
70015071.5477852,-77.8750470396384
70021833.1897852,-78.4045049337073
70028594.8317852,-78.3624378113673
70035356.4737852,-78.387119266501
70042118.1157852,-78.3472943097924
70048879.7577852,-78.4717972933732
70055641.3997852,-78.2792992645827
70062403.0417852,-78.3898423793958
70069164.6837852,-78.6356444751406
70075926.3257852,-78.4036609552103
70082687.9677852,-78.1116268930457
70089449.6097852,-78.4168405689572
70096211.2517852,-77.8989312328944
70102972.8937852,-77.8160757134442
70109734.5357852,-78.2056521188932
70116496.1777852,-78.5114869616636
70123257.8197852,-77.6730108927716
70130019.4617852,-77.6666813377519
70136781.1037852,-77.5722891708557
70143542.7457852,-77.6420436041758
70150304.3877852,-76.8625268890385
70157066.0297852,-77.2527378860296
70163827.6717852,-77.8830979205074
70170589.3137852,-77.4537503555316
70177350.9557852,-77.6210926958837
70184112.5977852,-77.6183721748831
70190874.2397852,-77.7108028694241
70197635.8817852,-78.4664131217673
70204397.5237852,-78.4939569635587
70211159.1657852,-78.3225575048703
70217920.8077852,-78.3292892614402
70224682.4497852,-78.8667817384426
70231444.0917852,-78.9163051338396
70238205.7337852,-78.4807807171842
70244967.3757852,-78.2686520078237
70251729.0177852,-78.115973293123
70258490.6597852,-78.2689538574177
70265252.3017852,-77.7579627053976
70272013.9437852,-78.1523144866383
70278775.5857852,-78.8653547501218
70285537.2277852,-78.0240929936557
70292298.8697852,-77.7783044928952
70299060.5117852,-78.1700647457319
70305822.1537852,-78.1283601898317
70312583.7957852,-78.8636273046349
70319345.4377852,-78.4145372588254
70326107.0797852,-78.4161047478671
70332868.7217852,-77.9652798981345
70339630.3637852,-78.5045545059312
70346392.0057852,-78.6095437944662
70353153.6477852,-78.2579298972076
70359915.2897852,-78.2893878126295
70366676.9317852,-78.1077106346183
70373438.5737852,-78.1300338593482
70380200.2157852,-78.2520597895753
70386961.8577852,-77.7101065262169
70393723.4997852,-78.2127652186158
70400485.1417852,-77.8808864696009
70407246.7837852,-77.9640935331263
70414008.4257852,-78.1010851525371
70420770.0677852,-77.9246037837554
70427531.7097852,-78.2769292158067
70434293.3517852,-78.575876456727
70441054.9937852,-78.2627367018068
70447816.6357852,-77.6436140408048
70454578.2777852,-78.1883420814238
70461339.9197852,-77.9954670024184
70468101.5617852,-77.7706267269338
70474863.2037852,-78.1530262608196
70481624.8457852,-78.3606822950557
70488386.4877852,-78.7479943409138
70495148.1297852,-77.8581562491433
70501909.7717852,-78.4923701861914
70508671.4137852,-78.7274887996443
70515433.0557852,-78.1586519766854
70522194.6977852,-78.2289548440663
70528956.3397852,-78.8105574861975
70535717.9817852,-77.9898270761016
70542479.6237852,-77.7217769351599
70549241.2657852,-78.1526965459015
70556002.9077852,-77.8309059472965
70562764.5497852,-78.0291985403225
70569526.1917852,-77.9805928321479
70576287.8337852,-77.9879891202233
70583049.4757852,-78.0244359147087
70589811.1177852,-77.9908571758183
70596572.7597852,-77.9067022386891
70603334.4017852,-78.3469647366047
70610096.0437852,-78.4244208334783
70616857.6857852,-77.9971089334692
70623619.3277852,-77.9430732976369
70630380.9697852,-77.9796281275323
70637142.6117852,-78.41862087413
70643904.2537852,-78.1033765165347
70650665.8957852,-78.057016712265
70657427.5377852,-78.940077230152
70664189.1797852,-78.121137306996
70670950.8217852,-77.9726104445627
70677712.4637852,-77.5155562017018
70684474.1057852,-77.8230586040946
70691235.7477852,-78.1484572095609
70697997.3897852,-78.2536119363499
70704759.0317852,-78.2351378754662
70711520.6737852,-77.9122962900587
70718282.3157852,-77.7912335082746
70725043.9577852,-78.1947141758478
70731805.5997852,-78.369902716594
70738567.2417852,-78.0427767385562
70745328.8837852,-78.172317070301
70752090.5257852,-77.6498126885306
70758852.1677852,-77.8330511700227
70765613.8097852,-78.4519625921173
70772375.4517852,-78.621063947478
70779137.0937852,-78.6434827199987
70785898.7357852,-78.3534149756184
70792660.3777852,-78.4084606688864
70799422.0197852,-77.7155645910149
70806183.6617852,-78.0712646068806
70812945.3037852,-78.1242625500504
70819706.9457852,-77.8535601916741
70826468.5877852,-78.1591297832815
70833230.2297852,-78.307513325317
70839991.8717852,-78.4951321017429
70846753.5137852,-78.1438722708232
70853515.1557852,-77.8004714149372
70860276.7977852,-77.716298404311
70867038.4397852,-77.8419166494844
70873800.0817852,-77.9452921543254
70880561.7237852,-77.9954367329181
70887323.3657852,-78.1430242668068
70894085.0077852,-79.1303477103751
70900846.6497852,-78.6348109193137
70907608.2917852,-78.9357368754043
70914369.9337852,-78.5598714549543
70921131.5757852,-77.9908694176332
70927893.2177852,-78.5091458634872
70934654.8597852,-77.7593422928523
70941416.5017852,-77.9350111012486
70948178.1437852,-78.6054556861537
70954939.7857852,-77.8967312974352
70961701.4277852,-77.6801198986285
70968463.0697852,-77.9599473509554
70975224.7117852,-77.8657502239022
70981986.3537852,-77.4945367452145
70988747.9957852,-77.8847887081155
70995509.6377852,-78.2024491278895
71002271.2797852,-78.1496134849041
71009032.9217852,-77.9977713949292
71015794.5637852,-77.8784110258535
71022556.2057852,-77.9196136571839
71029317.8477852,-78.3249222930013
71036079.4897852,-78.3364634924176
71042841.1317852,-78.3250735781372
71049602.7737852,-78.3565435413292
71056364.4157852,-78.3761482758761
71063126.0577852,-78.3066329982341
71069887.6997852,-77.9936821085667
71076649.3417852,-78.321830274857
71083410.9837852,-77.69357222958
71090172.6257852,-78.0023476716881
71096934.2677852,-78.3327208480871
71103695.9097852,-78.3579633098943
71110457.5517852,-77.6833579403145
71117219.1937852,-78.4375902142583
71123980.8357852,-78.2738521765624
71130742.4777852,-78.2642386733313
71137504.1197852,-77.9466962257662
71144265.7617852,-78.0848290796186
71151027.4037852,-78.2613380293929
71157789.0457852,-77.9579867087273
71164550.6877852,-77.2663583917038
71171312.3297852,-77.7117080867631
71178073.9717852,-78.1346836239803
71184835.6137852,-77.8984306540731
71191597.2557852,-77.6771347888129
71198358.8977852,-78.1746123503648
71205120.5397852,-78.4259304888993
71211882.1817852,-78.5545422499241
71218643.8237852,-78.7133211651344
71225405.4657852,-78.1112275151827
71232167.1077852,-78.1728517925521
71238928.7497852,-78.7183469716967
71245690.3917852,-77.8864198287703
71252452.0337852,-77.8355669488081
71259213.6757852,-78.2450644451861
71265975.3177852,-78.3959953680222
71272736.9597852,-78.1724711266233
71279498.6017852,-78.4048623433109
71286260.2437852,-78.1522052414117
71293021.8857852,-77.7147147316182
71299783.5277852,-77.7044959879869
71306545.1697852,-77.8594520663243
71313306.8117852,-78.5613933694442
71320068.4537852,-78.1749609875933
71326830.0957852,-78.5399776153012
71333591.7377852,-78.0522357204281
71340353.3797852,-77.6809946947923
71347115.0217852,-78.3557744796008
71353876.6637852,-78.1968676696487
71360638.3057852,-77.8438553741315
71367399.9477852,-78.0276942784843
71374161.5897852,-78.8304335104289
71380923.2317852,-78.2336746701981
71387684.8737852,-78.3624376516592
71394446.5157852,-77.9221502468604
71401208.1577852,-78.3628939847015
71407969.7997852,-78.1128862415958
71414731.4417852,-78.7885143394019
71421493.0837852,-78.1766609006544
71428254.7257852,-78.322479926176
71435016.3677852,-77.8091190175323
71441778.0097852,-78.3191619513912
71448539.6517852,-78.4673659413521
71455301.2937852,-78.89702938587
71462062.9357852,-78.775630765865
71468824.5777852,-78.7365729646731
71475586.2197852,-78.8036665800531
71482347.8617852,-78.1712410362451
71489109.5037852,-78.1850003593222
71495871.1457852,-78.0630636087727
71502632.7877852,-77.9213025359361
71509394.4297852,-77.6846598324574
71516156.0717852,-78.1756113253285
71522917.7137852,-77.8968805056346
71529679.3557852,-77.3641257439861
71536440.9977852,-77.4666166650713
71543202.6397852,-77.6248619017208
71549964.2817852,-77.5941050019541
71556725.9237852,-77.649469489211
71563487.5657852,-77.3858796294333
71570249.2077852,-77.6089347438285
71577010.8497852,-77.7959330409206
71583772.4917852,-77.7566563860715
71590534.1337852,-77.3899409155879
71597295.7757852,-77.6642954224176
71604057.4177852,-77.6354578085739
71610819.0597852,-78.0101766568906
71617580.7017852,-78.1206551683238
71624342.3437852,-78.2769861936719
71631103.9857852,-78.5042223718804
71637865.6277852,-78.6224937477725
71644627.2697852,-77.690330304516
71651388.9117852,-77.7510436424634
71658150.5537852,-78.3313354480962
71664912.1957852,-78.4798640717854
71671673.8377852,-77.8794339348755
71678435.4797852,-77.8082065198429
71685197.1217852,-77.7201306993762
71691958.7637852,-77.4464593858628
71698720.4057852,-77.6241682311964
71705482.0477852,-77.827590738729
71712243.6897852,-78.0693380551976
71719005.3317852,-77.8618186387483
71725766.9737852,-77.6534640453718
71732528.6157852,-77.9006394888836
71739290.2577852,-78.0292446639227
71746051.8997852,-77.7254792883714
71752813.5417852,-77.6384474178833
71759575.1837852,-77.7330126857989
71766336.8257852,-77.6194868446506
71773098.4677852,-77.9710290252601
71779860.1097852,-78.7110486697601
71786621.7517852,-78.5915945790081
71793383.3937852,-78.0547019614999
71800145.0357852,-77.4462533285462
71806906.6777852,-77.8241719979761
71813668.3197852,-77.8407616607064
71820429.9617852,-77.3646524377386
71827191.6037852,-77.4126385389808
71833953.2457852,-77.687136046876
71840714.8877852,-76.9602615158741
71847476.5297852,-76.9830966437165
71854238.1717852,-77.413453039707
71860999.8137852,-77.5096653827541
71867761.4557852,-78.0534015814621
71874523.0977852,-77.8769760200715
71881284.7397852,-77.4117808490989
71888046.3817852,-76.9103145335317
71894808.0237852,-77.4059931459808
71901569.6657852,-77.3126247936907
71908331.3077852,-76.894735733405
71915092.9497852,-76.9976436502093
71921854.5917852,-76.7616861583211
71928616.2337852,-75.995793998386
71935377.8757852,-73.8745608532815
71942139.5177852,-71.8677411050197
71948901.1597852,-70.3595319026332
71955662.8017852,-68.3642078691434
71962424.4437852,-66.5020997739309
71969186.0857852,-64.9267977042859
71975947.7277852,-63.8582141291896
71982709.3697852,-63.1810722166924
71989471.0117852,-62.5940166184293
71996232.6537852,-62.3900072383645
72002994.2957852,-62.4597554092966
72009755.9377852,-62.9690498451152
72016517.5797852,-63.5749684478624
72023279.2217852,-64.8090843865265
72030040.8637852,-66.2275886898902
72036802.5057852,-67.7067282405127
72043564.1477852,-69.3159774105241
72050325.7897852,-70.915130123999
72057087.4317852,-73.0117970109823
72063849.0737852,-75.0417600949786
72070610.7157852,-76.7327853262756
72077372.3577852,-77.0526491053272
72084133.9997852,-77.293702898873
72090895.6417852,-77.5264599452147
72097657.2837852,-77.1806781946157
72104418.9257852,-77.6624144352793
72111180.5677852,-78.0346030284388
72117942.2097852,-77.0720744688731
72124703.8517852,-76.9934207719221
72131465.4937852,-77.6098229017771
72138227.1357852,-78.0657466764325
72144988.7777852,-77.9806004820191
72151750.4197852,-77.8289539854103
72158512.0617852,-77.485912290858
72165273.7037852,-78.0204144176747
72172035.3457852,-77.9214044707291
72178796.9877852,-77.7041903492945
72185558.6297852,-77.7309785465318
72192320.2717852,-78.0686642426031
72199081.9137852,-78.2925196519134
72205843.5557852,-78.1211968764596
72212605.1977852,-78.2331599395177
72219366.8397852,-78.2519288412414
72226128.4817852,-78.1358857403289
72232890.1237852,-77.7563563333132
72239651.7657852,-77.3774364421897
72246413.4077852,-77.8890818704686
72253175.0497852,-78.1989597778013
72259936.6917852,-78.4054295814173
72266698.3337852,-78.7860815181874
72273459.9757852,-78.7884416060217
72280221.6177852,-78.3819008188468
72286983.2597852,-77.7319052283246
72293744.9017852,-77.869961004159
72300506.5437852,-78.4056186391877
72307268.1857852,-78.1227121691719
72314029.8277852,-78.0548335481366
72320791.4697852,-78.0712696275274
72327553.1117852,-78.0149968203182
72334314.7537852,-77.9574588378564
72341076.3957852,-78.1620554142971
72347838.0377852,-78.1799546924425
72354599.6797852,-78.0365650236855
72361361.3217852,-77.8809224948927
72368122.9637852,-78.2058127433644
72374884.6057852,-78.4103735438545
72381646.2477852,-78.6180942671656
72388407.8897852,-78.3639995710061
72395169.5317852,-77.9012050703619
72401931.1737852,-77.3932399254705
72408692.8157852,-77.4041572184846
72415454.4577852,-77.7868547034928
72422216.0997852,-77.8023995690953
72428977.7417852,-77.6986942953188
72435739.3837852,-77.7255069495363
72442501.0257852,-77.8651747044005
72449262.6677852,-78.2907238343226
72456024.3097852,-78.4616316690342
72462785.9517852,-78.500940908059
72469547.5937852,-77.7434290329211
72476309.2357852,-77.7101610049607
72483070.8777852,-77.9542042587474
72489832.5197852,-77.8084901041058
72496594.1617852,-77.9555040634454
72503355.8037852,-77.9782625713167
72510117.4457852,-78.7652265666148
72516879.0877852,-77.5421770860579
72523640.7297852,-77.5913499255598
72530402.3717852,-77.9168975057563
72537164.0137852,-78.3045755029885
72543925.6557852,-77.9249626384035
72550687.2977852,-77.9036232670902
72557448.9397852,-77.2989331235856
72564210.5817852,-77.7511896132803
72570972.2237852,-77.8934326797711
72577733.8657852,-78.1766460450408
72584495.5077852,-78.1044104169303
72591257.1497852,-78.2419125093809
72598018.7917852,-78.26794571423
72604780.4337852,-78.3112076172616
72611542.0757852,-78.524337865073
72618303.7177852,-78.257765408411
72625065.3597852,-77.8198151347163
72631827.0017852,-78.1038767829739
72638588.6437852,-78.0123225775675
72645350.2857852,-78.2642638540163
72652111.9277852,-77.7210941596631
72658873.5697852,-77.5390706599656
72665635.2117852,-77.7173239251498
72672396.8537852,-78.3710953000919
72679158.4957852,-78.2937798499419
72685920.1377852,-77.5716408943061
72692681.7797852,-77.4065249630004
72699443.4217852,-77.3467425925347
72706205.0637852,-77.8382185555317
72712966.7057852,-77.9870515519332
72719728.3477852,-78.5779104107127
72726489.9897852,-78.3537234810332
72733251.6317852,-77.4439507715136
72740013.2737852,-77.2581414016994
72746774.9157852,-77.8587895085487
72753536.5577852,-77.8693313586152
72760298.1997852,-78.4250703039167
72767059.8417852,-77.4978731326893
72773821.4837852,-77.5701880363628
72780583.1257852,-78.1772035173313
72787344.7677852,-78.1678061722299
72794106.4097852,-78.3871162227633
72800868.0517852,-78.4164779494374
72807629.6937852,-78.0180645757803
72814391.3357852,-77.6624450016469
72821152.9777852,-77.8288757188201
72827914.6197852,-78.0464631291633
72834676.2617852,-78.2286025061313
72841437.9037852,-78.4964441986486
72848199.5457852,-77.9773236321565
72854961.1877852,-78.0589091478373
72861722.8297852,-77.9270085452563
72868484.4717852,-77.7790173952819
72875246.1137852,-77.8954311719478
72882007.7557852,-77.8906364466892
72888769.3977852,-78.3119699883949
72895531.0397852,-78.2956388457589
72902292.6817852,-78.6224623133729
72909054.3237852,-78.1828720504086
72915815.9657852,-77.8079436804237
72922577.6077852,-78.2450183417511
72929339.2497852,-78.6120451028888
72936100.8917852,-78.8542305221446
72942862.5337852,-78.4416929460595
72949624.1757852,-78.187935498629
72956385.8177852,-78.1444825575591
72963147.4597852,-78.2615344506955
72969909.1017852,-78.8545222366598
72976670.7437852,-78.4496519482516
72983432.3857852,-78.3507292181994
72990194.0277852,-78.2808931157063
72996955.6697852,-77.8311575450543
73003717.3117852,-78.16196294082
73010478.9537852,-78.0592649686456
73017240.5957852,-77.492690075938
73024002.2377852,-77.1237075620619
73030763.8797852,-77.8670290038351
73037525.5217852,-77.563202493995
73044287.1637852,-78.3461426646421
73051048.8057852,-77.9584213425183
73057810.4477852,-77.7953122949854
73064572.0897852,-78.3574499261954
73071333.7317852,-78.2224285284856
73078095.3737852,-78.3454042606871
73084857.0157852,-77.5619318277986
73091618.6577852,-77.5717744390324
73098380.2997852,-77.5553557905775
73105141.9417852,-77.7053235090521
73111903.5837852,-77.8512046437046
73118665.2257852,-77.4895768414782
73125426.8677852,-78.1428633683324
73132188.5097852,-78.0509600912534
73138950.1517852,-78.0979486307031
73145711.7937852,-78.0906388545195
73152473.4357852,-78.56801469387
73159235.0777852,-78.5969524035171
73165996.7197852,-78.1616581640679
73172758.3617852,-78.5045463449585
73179520.0037852,-77.8559304828422
73186281.6457852,-78.0294658964621
73193043.2877852,-78.3022461790769
73199804.9297852,-78.631749133476
73206566.5717852,-78.3724877729769
73213328.2137852,-78.6824577358065
73220089.8557852,-77.9980302290302
73226851.4977852,-77.9954918979481
73233613.1397852,-78.2872384223473
73240374.7817852,-78.4474832876096
73247136.4237852,-79.0717717273496
73253898.0657852,-78.4359973591835
73260659.7077852,-78.0054757210332
73267421.3497852,-78.0441609699623
73274182.9917852,-77.9710581271797
73280944.6337852,-78.1086848739742
73287706.2757852,-78.0283310829892
73294467.9177852,-77.8748435251688
73301229.5597852,-78.5728672083933
73307991.2017852,-78.4497309435739
73314752.8437852,-78.0345150036793
73321514.4857852,-77.8932070678024
73328276.1277852,-78.062383922256
73335037.7697852,-77.792286156538
73341799.4117852,-77.9207710344958
73348561.0537852,-77.9080487755623
73355322.6957852,-78.5547763781348
73362084.3377852,-78.6610932494296
73368845.9797852,-78.4714316405076
73375607.6217852,-78.488485092787
73382369.2637852,-78.7731733010014
73389130.9057852,-78.2767191066746
73395892.5477852,-78.6220249747155
73402654.1897852,-78.5084093767567
73409415.8317852,-77.696784871635
73416177.4737852,-78.0260070332065
73422939.1157852,-77.9768197909412
73429700.7577852,-77.8790343997191
73436462.3997852,-77.5490144435179
73443224.0417852,-78.476885607846
73449985.6837852,-78.0943600525579
73456747.3257852,-77.3158456631196
73463508.9677852,-77.6433034123166
73470270.6097852,-78.404972058964
73477032.2517852,-77.8256709584854
73483793.8937852,-77.6958320459342
73490555.5357852,-77.4535994740285
73497317.1777852,-77.6661594364029
73504078.8197852,-77.7207957262564
73510840.4617852,-77.8069105543134
73517602.1037852,-78.264373077618
73524363.7457852,-78.610503626731
73531125.3877852,-78.3718902359991
73537887.0297852,-77.4310487055452
73544648.6717852,-77.7955759704078
73551410.3137852,-77.9938206965639
73558171.9557852,-78.0992740911198
73564933.5977852,-77.8949809554205
73571695.2397852,-77.5432800428081
73578456.8817852,-77.4874345498965
73585218.5237852,-78.1509404079544
73591980.1657852,-78.3125553653
73598741.8077852,-78.3769782265475
73605503.4497852,-77.8583481771908
73612265.0917852,-77.5707218067114
73619026.7337852,-77.8146182441397
73625788.3757852,-77.8915295190273
73632550.0177852,-77.8382197644194
73639311.6597852,-77.9336636594196
73646073.3017852,-77.7234343217876
73652834.9437852,-78.0561605018608
73659596.5857852,-77.6798513071711
73666358.2277852,-77.5063537780789
73673119.8697852,-77.7423496546301
73679881.5117852,-78.0042459214442
73686643.1537852,-78.7548959852382
73693404.7957852,-78.2901903695157
73700166.4377852,-78.0328693699572
73706928.0797852,-79.0047047977955
73713689.7217852,-78.3064104731368
73720451.3637852,-77.7813335197705
73727213.0057852,-77.7818018546193
73733974.6477852,-77.7957162891095
73740736.2897852,-77.6140047301771
73747497.9317852,-78.0977878185589
73754259.5737852,-77.7925966159889
73761021.2157852,-77.7969473316343
73767782.8577852,-78.0202110712571
73774544.4997852,-77.9464991242292
73781306.1417852,-77.7964804974399
73788067.7837852,-77.6064165248264
73794829.4257852,-77.7229958109022
73801591.0677852,-77.8025403086451
73808352.7097852,-77.5716687504833
73815114.3517852,-77.1721529897381
73821875.9937852,-77.3373585532563
73828637.6357852,-77.6463331173697
73835399.2777852,-77.9804277020871
73842160.9197852,-77.3127769478693
73848922.5617852,-76.7372089848894
73855684.2037852,-77.0187392421868
73862445.8457852,-77.6038711444046
73869207.4877852,-78.0568733954997
73875969.1297852,-78.1566153539812
